/content/satellite_images_cropped/zm128m_lat14d552248_lon121d020263_cropped.JPG,271,2,510,183,building
/content/satellite_images_cropped/zm128m_lat14d552248_lon121d020263_cropped.JPG,2,1,228,171,building
/content/satellite_images_cropped/zm128m_lat14d552248_lon121d020263_cropped.JPG,90,255,506,506,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,322,148,428,240,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,374,416,470,510,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,342,225,450,425,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,121,285,260,445,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,32,380,145,512,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,163,446,250,512,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,1,21,94,85,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,1,84,62,127,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,310,72,410,154,building
/content/satellite_images_cropped/zm128m_lat14d556876_lon121d014324_cropped.JPG,334,1,397,49,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,398,8,510,201,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,444,254,510,392,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,2,314,231,493,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,79,286,234,382,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,63,0,170,86,building
/content/satellite_images_cropped/zm128m_lat14d555719_lon121d014324_cropped.JPG,167,0,321,426,building
/content/satellite_images_cropped/zm128m_lat14d553405_lon121d014324_cropped.JPG,110,40,350,237,building
